UUID        = 580c007b-2513-44e2-b0e3-073272ff6917
ScanDate    = 20180913_092406
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     13582044     RESP   2294 
     13582052     RESP   2280 
     13582060     RESP   2294 
     13582068     RESP   2309 
     13582076     RESP   2309 
     13582084     RESP   2323 
     13582092     RESP   2309 
     13582100     RESP   2323 
     13582108     RESP   2323 
     13582116     RESP   2338 
     13582124     RESP   2338 
     13582132     RESP   2352 
     13582140     RESP   2352 
     13582148     RESP   2338 
     13582156     RESP   2338 
     13582164     RESP   2338 
     13582172     RESP   2352 
     13582180     RESP   2352 
     13582188     RESP   2352 
     13582196     RESP   2338 
     13582204     RESP   2338 
     13582212     RESP   2323 
     13582220     RESP   2323 
     13582228     RESP   2338 
     13582236     RESP   2338 
     13582244     RESP   2338 
     13582252     RESP   2323 
     13582260     RESP   2338 
     13582268     RESP   2338 
     13582276     RESP   2294 
     13582284     RESP   2280 
     13582292     RESP   2294 
     13582300     RESP   2294 
     13582308     RESP   2265 
     13582316     RESP   2236 
     13582324     RESP   2207 
     13582332     RESP   2193 
     13582340     RESP   2193 
     13582348     RESP   2193 
     13582356     RESP   2207 
     13582364     RESP   2207 
     13582372     RESP   2207 
     13582380     RESP   2207 
     13582388     RESP   2222 
     13582396     RESP   2251 
     13582404     RESP   2280 
     13582412     RESP   2294 
     13582420     RESP   2309 
     13582428     RESP   2338 
     13582436     RESP   2352 
     13582444     RESP   2338 
     13582452     RESP   2338 
     13582460     RESP   2338 
     13582468     RESP   2338 
     13582476     RESP   2309 
     13582484     RESP   2309 
     13582492     RESP   2309 
     13582500     RESP   2309 
     13582508     RESP   2323 
     13582516     RESP   2338 
     13582524     RESP   2338 
     13582532     RESP   2323 
     13582540     RESP   2323 
     13582548     RESP   2338 
     13582556     RESP   2338 
     13582564     RESP   2323 
     13582572     RESP   2323 
     13582580     RESP   2338 
     13582588     RESP   2323 
     13582596     RESP   2338 
     13582604     RESP   2352 
