UUID        = 580c007b-2513-44e2-b0e3-073272ff6917
ScanDate    = 20180913_092406
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 64
NumVolumes  = 300
NumEchoes   = 3

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO
     3      60         13587291         13587299     0
     3      12         13587300         13587308     1
     3      28         13587300         13587308     1
     3      44         13587300         13587308     1
     3      60         13587300         13587308     1
     3      12         13587309         13587317     2
     3      28         13587309         13587317     2
     3      44         13587309         13587317     2
     3      60         13587309         13587317     2
     3       3         13587327         13587335     0
     3      19         13587327         13587335     0
     3      35         13587327         13587335     0
     3      51         13587327         13587335     0
     3       3         13587336         13587344     1
     3      19         13587336         13587344     1
     3      35         13587336         13587344     1
     3      51         13587336         13587344     1
     3       3         13587345         13587353     2
     3      19         13587345         13587353     2
     3      35         13587345         13587353     2
     3      51         13587345         13587353     2
     3      10         13587363         13587371     0
     3      26         13587363         13587371     0
     3      42         13587363         13587371     0
     3      58         13587363         13587371     0
     3      10         13587372         13587380     1
     3      26         13587372         13587380     1
     3      42         13587372         13587380     1
     3      58         13587372         13587380     1
     3      10         13587381         13587389     2
     3      26         13587381         13587389     2
     3      42         13587381         13587389     2
     3      58         13587381         13587389     2
     3       1         13587399         13587407     0
     3      17         13587399         13587407     0
     3      33         13587399         13587407     0
     3      49         13587399         13587407     0
     3       1         13587408         13587416     1
     3      17         13587408         13587416     1
     3      33         13587408         13587416     1
     3      49         13587408         13587416     1
     3       1         13587417         13587425     2
     3      17         13587417         13587425     2
     3      33         13587417         13587425     2
     3      49         13587417         13587425     2
     3       8         13587435         13587443     0
     3      24         13587435         13587443     0
     3      40         13587435         13587443     0
     3      56         13587435         13587443     0
     3       8         13587444         13587452     1
     3      24         13587444         13587452     1
     3      40         13587444         13587452     1
     3      56         13587444         13587452     1
     3       8         13587453         13587461     2
     3      24         13587453         13587461     2
     3      40         13587453         13587461     2
     3      56         13587453         13587461     2
     3      15         13587471         13587479     0
     3      31         13587471         13587479     0
     3      47         13587471         13587479     0
     3      63         13587471         13587479     0
     3      15         13587480         13587488     1
     3      31         13587480         13587488     1
     3      47         13587480         13587488     1
     3      63         13587480         13587488     1
     3      15         13587489         13587497     2
     3      31         13587489         13587497     2
     3      47         13587489         13587497     2
     3      63         13587489         13587497     2
     3       6         13587507         13587515     0
     3      22         13587507         13587515     0
     3      38         13587507         13587515     0
     3      54         13587507         13587515     0
     3       6         13587516         13587524     1
     3      22         13587516         13587524     1
     3      38         13587516         13587524     1
     3      54         13587516         13587524     1
     3       6         13587525         13587533     2
     3      22         13587525         13587533     2
     3      38         13587525         13587533     2
     3      54         13587525         13587533     2
     3      13         13587543         13587551     0
     3      29         13587543         13587551     0
     3      45         13587543         13587551     0
     3      61         13587543         13587551     0
     3      13         13587552         13587560     1
     3      29         13587552         13587560     1
     3      45         13587552         13587560     1
     3      61         13587552         13587560     1
     3      13         13587561         13587569     2
     3      29         13587561         13587569     2
     3      45         13587561         13587569     2
     3      61         13587561         13587569     2
     3       4         13587579         13587587     0
     3      20         13587579         13587587     0
     3      36         13587579         13587587     0
     3      52         13587579         13587587     0
     3       4         13587588         13587596     1
     3      20         13587588         13587596     1
     3      36         13587588         13587596     1
     3      52         13587588         13587596     1
     3       4         13587597         13587605     2
     3      20         13587597         13587605     2
     3      36         13587597         13587605     2
     3      52         13587597         13587605     2
     3      11         13587615         13587623     0
     3      27         13587615         13587623     0
     3      43         13587615         13587623     0
     3      59         13587615         13587623     0
     3      11         13587624         13587632     1
     3      27         13587624         13587632     1
     3      43         13587624         13587632     1
